MascotaId,MascotaNombre,MascotaSexo,MascotaNacimiento,MascotaDeceso,MascotaObservaciones,MascotaSocio,MascotaClienteId,MascotaColorId,MascotaRazaId,MascotaEspecieId
9167,TOMY,masculino,2012-05-23,1000-01-01,sin observaciones,false,8030,8,16,1
9168,DANGER,masculino,2021-05-29,1000-01-01,sin observaciones,false,8031,9,117,1
9169,ROMA,femenino,2022-05-29,1000-01-01,sin observaciones,false,8032,5,110,1
9170,LUNA,femenino,2017-09-29,1000-01-01,sin observaciones,false,8033,1,1,1
9171,SOCIO,masculino,2011-05-29,1000-01-01,sin observaciones,false,8034,8,16,1
9172,LEA,femenino,2022-11-01,1000-01-01,sin observaciones,false,3525,24,1,1
9173,PANTERA,masculino,2022-08-28,1000-01-01,sin observaciones,false,3231,24,2,2
9174,GATO BLANCO Y NEGRO,masculino,2020-05-30,2023-05-31,sin observaciones,false,7116,28,2,2
9175,CENIZA,femenino,2022-09-21,2023-06-03,sin observaciones,false,8035,19,127,2
9176,MAIA,femenino,2019-11-29,1000-01-01,sin observaciones,false,8036,1,148,10
9177,SIMBA,masculino,2018-05-30,1000-01-01,sin observaciones,false,8036,8,16,1
9178,MICKY,masculino,2019-05-31,1000-01-01,sin observaciones,false,8037,47,1,1
9179,MARA,femenino,2020-05-31,1000-01-01,sin observaciones,false,6264,9,150,1
9180,MUNAY,femenino,2022-09-21,1000-01-01,sin observaciones,false,4372,64,2,2
9181,LENIN,masculino,2022-06-01,1000-01-01,sin observaciones,false,8038,15,2,2
9182,YARU,femenino,2022-12-01,1000-01-01,sin observaciones,false,8039,4,146,1
9183,WOLLY,masculino,2012-06-01,1000-01-01,sin observaciones,false,8040,3,1,1
9184,CHLOE,femenino,2023-04-03,1000-01-01,sin observaciones,false,8041,6,116,1
9185,NIA,femenino,2022-06-10,1000-01-01,sin observaciones,false,2364,34,2,2
9186,TITI,femenino,2013-05-06,1000-01-01,sin observaciones,false,2918,14,1,1
9187,ISAAC,masculino,2023-02-19,1000-01-01,sin observaciones,false,6928,2,109,1
9188,MORENITA,masculino,2022-06-02,1000-01-01,sin observaciones,false,8042,2,196,17
9189,COCKY,masculino,2017-06-02,1000-01-01,sin observaciones,false,8043,8,16,1
9190,EMA,femenino,2017-08-03,1000-01-01,sin observaciones,false,8044,10,62,1
9191,LUCHO,masculino,2008-08-16,1000-01-01,sin observaciones,false,8045,2,1,1
9192,PEPE,masculino,2023-03-03,1000-01-01,sin observaciones,false,6331,1,109,1
9193,TOFI,masculino,2022-11-03,1000-01-01,sin observaciones,false,4418,8,16,1
9194,PEREZ,masculino,2022-06-03,1000-01-01,sin observaciones,false,5938,2,187,10
9195,TRIXY,femenino,2023-01-13,1000-01-01,sin observaciones,false,4300,15,2,2
9196,CATY,femenino,2009-06-03,1000-01-01,sin observaciones,false,423,64,2,2
9197,SOL,femenino,2016-06-03,1000-01-01,sin observaciones,false,8053,9,1,1
9198,SIMONA,femenino,2016-06-03,1000-01-01,sin observaciones,false,8046,9,27,1
9199,JACK,masculino,2021-06-03,1000-01-01,sin observaciones,false,2814,22,183,17
9200,ROBERTA,femenino,2022-04-05,1000-01-01,sin observaciones,false,7130,24,2,2
9201,YOGA,femenino,2015-06-05,1000-01-01,sin observaciones,false,8047,64,2,2
9202,ROLO,masculino,2019-06-05,1000-01-01,sin observaciones,false,8048,6,116,1
9203,BIANCA,femenino,2015-04-25,1000-01-01,sin observaciones,false,8049,8,16,1
9204,NUBA,masculino,2012-06-05,1000-01-01,sin observaciones,false,7058,5,31,1
