id,NOMBRE,SEXO,FECHA_NAC,deceso,observaciones,nro_chip,socio,enabled,clienteId,colorId,razaId,especieId
46,BULL,MACHO,2007-03-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,18,30,163,1
47,JULIA,HEMBRA,2011-05-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,59,23,353,1
48,MORRIS,MACHO,2007-02-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,19,4,45,1
49,SAYA,HEMBRA,2010-01-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,60,1,352,1
50,RONY,MACHO,2009-11-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,20,18,500,1
51,LAICA,HEMBRA,2009-09-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,59,1,326,1
52,RAMSES,MACHO,2010-09-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,21,1,201,2
53,LUNA,HEMBRA,2008-06-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,61,1,326,1
54,KENSO,MACHO,2004-09-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,22,6,99,1
55,EMA,HEMBRA,2009-03-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,62,30,248,1
56,LUNA,HEMBRA,2006-04-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,23,23,33,1
57,OSVALDO,MACHO,2008-02-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,63,2,119,1
58,CIMARRON,HEMBRA,2009-02-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,24,16,338,1
59,POLO,MACHO,2007-08-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,64,18,124,1
60,JUANA,HEMBRA,2010-09-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,25,11,328,1
61,DUKE,MACHO CASTRADO,2011-01-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,65,9,355,2
62,ROSA,HEMBRA,2010-03-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,9,220,1
63,MARI,HEMBRA CASTRADA,2006-01-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,66,1,201,2
64,MAIZING,HEMBRA,2009-06-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,1,197,1
65,PANCHO,MACHO,2006-12-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,67,1,326,1
66,CINDY,HEMBRA,2009-02-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,28,9,334,1
67,POMBO,MACHO,2008-09-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,68,1,99,1
68,NICHOLS,MACHO,2009-12-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,29,30,324,1
69,APSO,HEMBRA,2007-07-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,69,18,32,1
70,BONI,MACHO,2008-01-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,30,1,324,1
71,BALTAZAR,MACHO,2003-12-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,70,1,326,1
72,LOLA,,2011-05-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,31,1,326,1
73,ROCKI,MACHO,2008-03-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,71,10,330,1
74,DONNA,HEMBRA,2005-12-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,32,6,79,1
75,TINTA,HEMBRA,2009-02-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,72,10,331,1
76,MAZIS,HEMBRA,2010-05-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,33,18,500,1
77,CAYLA,,2009-03-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,72,1,500,1
78,TOMAS,HEMBRA,2011-03-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,34,3,326,1
79,JABUR?,MACHO,2010-11-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,73,3,330,1
80,VALDEZ,MACHO,2009-10-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,74,6,99,1
81,STAR,MACHO,2008-11-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,75,23,326,1
82,JULIETA,HEMBRA,2007-01-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,76,1,324,1
83,SASHA,HEMBRA,2006-12-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,77,3,330,1
84,ABRAHAM,MACHO,2003-01-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,78,3,500,1
85,FADO,MACHO,2005-01-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,78,1,242,1
86,SIMON,MACHO,2001-03-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,78,24,330,1
87,RITA,HEMBRA,2004-02-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,35,18,326,1
88,LUNA,HEMBRA,2006-10-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,36,7,338,1
89,YAIR,MACHO,2007-12-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,37,18,343,1
90,JACOBO,MACHO,2001-03-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,78,18,500,1
91,SIMON,MACHO,2001-03-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,78,2,330,1
92,KAMAR,HEMBRA,2007-11-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,38,9,334,1
